question_id,source,play,question,expected_focus,interaction,system,retrieved_passage,retrieved_metadata,response,correctness,grounding,retrieval_relevance,usefulness,style,comments
Q1,instructor,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle, and Lady Macbeth's pressure. Useful evidence may come from Acts 1–2.",explain,baseline,,,Macbeth kills Duncan because he is driven by ambition and a desire for power. He believes that killing the king will allow him to take the throne and fulfill his own destiny.,,,,,,
Q1,instructor,Macbeth,Why does Macbeth kill Duncan?,"Macbeth's ambition, the witches' prophecy, Duncan as an obstacle, and Lady Macbeth's pressure. Useful evidence may come from Acts 1–2.",explain,rag,"[1] Macbeth | Act 3 Scene 6 | macbeth_3_6 | Speakers: FORRES,LENNOX,LORD,STAGE_DIRECTION
Play: Macbeth | Act 3 Scene 6
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.

FORRES: The palace.
[Stage] Enter Lennox and another Lord.
LENNOX: My former speeches have but hit your thoughts, Which can interpret farther; only I say Thing's have been strangely borne. The gracious Duncan Was pitied of Macbeth; marry, he was dead. And the right valiant Banquo walk'd too late, Whom, you may say, if't please you, Fleance kill'd, For Fleance fled. Men must not walk too late. Who cannot want the thought, how monstrous It was for Malcolm and for Donalbain To kill their gracious father? Damned fact! How it did grieve Macbeth! Did he not straight, In pious rage, the two delinquents tear That were the slaves of drink and thralls of sleep? Was not that nobly done? Ay, and ...

---

[2] Macbeth | Act 1 Scene 6 | macbeth_1_6 | Speakers: COMMERCIALLY,LADY MACBETH,MACBETH,STAGE_DIRECTION,WITH PERMISSION
Play: Macbeth | Act 1 Scene 6 | Location: Before Macbeth's castle.  Hautboys and torches
Summary: Duncan arrives at Macbeth’s castle, unaware of the planned betrayal.

MACBETH: If we should fail?
LADY MACBETH: We fail? But screw your courage to the sticking-place And we'll not fail. When Duncan is asleep- Whereto the rather shall his day's hard journey Soundly invite him- his two chamberlains Will I with wine and wassail so convince That memory, the warder of the brain, Shall be a fume and the receipt of reason A limbeck only. When in swinish sleep Their drenched natures lie as in a death, What cannot you and I perform upon The unguarded Duncan? What not put upon His spongy officers, who shall bear the guilt Of our great quell?
MACBETH: Bring forth men-children only, For thy undaunted mett...

---

[3] Macbeth | Act 1 Scene 4 | macbeth_1_4 | Speakers: BANQUO,DUNCAN,FLOURISH,FORRES,MACBETH,MALCOLM,STAGE_DIRECTION
Play: Macbeth | Act 1 Scene 4
Summary: Duncan names Malcolm heir, creating an obstacle to Macbeth’s ambition.

FORRES: The palace.
FLOURISH: Enter Duncan, Malcolm, Donalbain, Lennox, and Attendants.
DUNCAN: Is execution done on Cawdor? Are not Those in commission yet return'd?
MALCOLM: My liege, They are not yet come back. But I have spoke With one that saw him die, who did report That very frankly he confess'd his treasons, Implored your Highness' pardon, and set forth A deep repentance. Nothing in his life Became him like the leaving it; he died As one that had been studied in his death, To throw away the dearest thing he owed As 'twere a careless trifle.
DUNCAN: There's no art To find the mind's construction in the face: He was a gentleman on whom I built An absolute trust.
[Stage] Ente...",Macbeth Act 3 Scene 6; Macbeth Act 1 Scene 6; Macbeth Act 1 Scene 4,Macbeth kills Duncan because he wants to seize the throne for himself.,,,,,,
Q2,instructor,Macbeth,How does Macbeth change after becoming king?,"He becomes increasingly fearful, violent, paranoid, and tyrannical; relevant evidence includes Banquo's murder, the banquet, and later acts.",explain,baseline,,,"Macbeth's transformation is quite dramatic. As he becomes king, his guilt and paranoia grow, leading him to become increasingly tyrannical and isolated. He becomes consumed by the weight of his own ambition and the fear of being overthrown.",,,,,,
Q2,instructor,Macbeth,How does Macbeth change after becoming king?,"He becomes increasingly fearful, violent, paranoid, and tyrannical; relevant evidence includes Banquo's murder, the banquet, and later acts.",explain,rag,"[1] Macbeth | Act 5 Scene 2 | macbeth_5_2 | Speakers: ANGUS,CAITHNESS,LENNOX,MENTEITH,STAGE_DIRECTION
Play: Macbeth | Act 5 Scene 2 | Location: The country near Dunsinane. Drum and colors
Summary: Scottish forces gather against Macbeth.

[Stage] Enter Menteith, Caithness, Angus, Lennox, and Soldiers.
MENTEITH: The English power is near, led on by Malcolm, His uncle Siward, and the good Macduff. Revenges burn in them, for their dear causes Would to the bleeding and the grim alarm Excite the mortified man.
ANGUS: Near Birnam Wood Shall we well meet them; that way are they coming.
CAITHNESS: Who knows if Donalbain be with his brother?
LENNOX: For certain, sir, he is not; I have a file Of all the gentry. There is Seward's son And many unrough youths that even now Protest their first of manhood.
MENTEITH: What does the tyrant?
CAITHNESS: Great Dunsinane he strongly fortifies. Some say he's mad;...

---

[2] Macbeth | Act 3 Scene 6 | macbeth_3_6 | Speakers: FORRES,LENNOX,LORD,STAGE_DIRECTION
Play: Macbeth | Act 3 Scene 6
Summary: Scottish nobles discuss Macbeth’s tyranny and hope for resistance.

FORRES: The palace.
[Stage] Enter Lennox and another Lord.
LENNOX: My former speeches have but hit your thoughts, Which can interpret farther; only I say Thing's have been strangely borne. The gracious Duncan Was pitied of Macbeth; marry, he was dead. And the right valiant Banquo walk'd too late, Whom, you may say, if't please you, Fleance kill'd, For Fleance fled. Men must not walk too late. Who cannot want the thought, how monstrous It was for Malcolm and for Donalbain To kill their gracious father? Damned fact! How it did grieve Macbeth! Did he not straight, In pious rage, the two delinquents tear That were the slaves of drink and thralls of sleep? Was not that nobly done? Ay, and ...

---

[3] Macbeth | Act 1 Scene 3 | macbeth_1_3 | Speakers: ANGUS,BANQUO,MACBETH
Play: Macbeth | Act 1 Scene 3 | Location: A heath. Thunder
Summary: The witches greet Macbeth with prophecies that awaken his ambition.

ANGUS: Who was the Thane lives yet, But under heavy judgement bears that life Which he deserves to lose. Whether he was combined With those of Norway, or did line the rebel With hidden help and vantage, or that with both He labor'd in his country's wreck, I know not; But treasons capital, confess'd and proved, Have overthrown him.
MACBETH: [Aside.] Glamis, and Thane of Cawdor! The greatest is behind. [To Ross and Angus] Thanks for your pains. [Aside to Banquo] Do you not hope your children shall be kings, When those that gave the Thane of Cawdor to me Promised no less to them?
BANQUO: [Aside to Macbeth.] That, trusted home, Might yet enkindle you unto the...",Macbeth Act 5 Scene 2; Macbeth Act 3 Scene 6; Macbeth Act 1 Scene 3,"Macbeth's tyranny develops.

In plain modern English, this means that after becoming king, Macbeth becomes a tyrant and starts to abuse his power. He is no longer the same person he was before, but instead has become consumed by his own ambition and paranoia.",,,,,,
Q3,instructor,Hamlet,Why does Hamlet delay taking revenge?,"Uncertainty, moral hesitation, need to test Claudius's guilt, and reflective temperament; use evidence from the ghost scene, the play-within-a-play, and prayer scene.",explain,baseline,,,"Hamlet delays taking revenge because he's struggling with his own moral compass. He's torn between avenging his father's death and considering the consequences of his actions. Additionally, he's also trying to uncover the truth about his uncle's guilt, which further complicates his decision-making process.",,,,,,
Q3,instructor,Hamlet,Why does Hamlet delay taking revenge?,"Uncertainty, moral hesitation, need to test Claudius's guilt, and reflective temperament; use evidence from the ghost scene, the play-within-a-play, and prayer scene.",explain,rag,"[1] Hamlet | Act 4 Scene 4 | hamlet_4_4 | Speakers: COMMERCIALLY,STAGE_DIRECTION,WITH PERMISSION
Play: Hamlet | Act 4 Scene 4 | Location: Near Elsinore
Summary: Hamlet compares himself to Fortinbras and criticises his delay.

[Stage] A thought which, quarter'd, hath but one part wisdom
[Stage] And ever three parts coward,- I do not know
[Stage] Why yet I live to say 'This thing's to do,'
[Stage] Sith I have cause, and will, and strength, and means
[Stage] To do't. Examples gross as earth exhort me.
[Stage] Witness this army of such mass and charge,
[Stage] Led by a delicate and tender prince,
[Stage] Whose spirit, with divine ambition puff'd,
[Stage] Makes mouths at the invisible event,
[Stage] Exposing what is mortal and unsure
[Stage] To all that fortune, death, and danger dare,
[Stage] Even for an eggshell. Rightly to be great
[Stage] Is not to stir without great argument,
[Stage] ...

---

[2] Hamlet | Act 3 Scene 1 | hamlet_3_1 | Speakers: CLAUDIUS,ELSINORE,GERTRUDE,GUILDENSTERN,OPHELIA,POLONIUS,ROSENCRANTZ,STAGE_DIRECTION
Play: Hamlet | Act 3 Scene 1
Summary: Hamlet reflects on existence, rejects Ophelia, and Claudius suspects danger.

ELSINORE: A room in the Castle.
[Stage] Enter King, Queen, Polonius, Ophelia, Rosencrantz, Guildenstern,
[Stage] and Lords.
CLAUDIUS: And can you by no drift of circumstance Get from him why he puts on this confusion, Grating so harshly all his days of quiet With turbulent and dangerous lunacy?
ROSENCRANTZ: He does confess he feels himself distracted, But from what cause he will by no means speak.
GUILDENSTERN: Nor do we find him forward to be sounded, But with a crafty madness keeps aloof When we would bring him on to some confession Of his true state.
GERTRUDE: Did he receive you well?
ROSENCRANTZ: Most like a gentleman.
GUILDENSTERN: But with much forcing of his dispositio...

---

[3] Hamlet | Act 3 Scene 3 | hamlet_3_3 | Speakers: CLAUDIUS,HAMLET,STAGE_DIRECTION
Play: Hamlet | Act 3 Scene 3 | Location: A room in the Castle
Summary: Hamlet finds Claudius praying but delays killing him.

[Stage] Be soft as sinews of the new-born babe!
[Stage] All may be well.                                  He kneels.
[Stage] Enter Hamlet.
HAMLET: Now might I do it pat, now he is praying; And now I'll do't. And so he goes to heaven, And so am I reveng'd. That would be scann'd. A villain kills my father; and for that, I, his sole son, do this same villain send To heaven. Why, this is hire and salary, not revenge! He took my father grossly, full of bread, With all his crimes broad blown, as flush as May; And how his audit stands, who knows save heaven? But in our circumstance and course of thought, 'Tis heavy with him; and am I then reveng'd, To take him in the purgi...",Hamlet Act 4 Scene 4; Hamlet Act 3 Scene 1; Hamlet Act 3 Scene 3,"Hamlet delays taking revenge because he is considering the moral implications of killing Claudius while he is praying. Hamlet thinks that killing Claudius in this state would be a form of ""hire and salary"" rather than true revenge, as it would not account for all of Claudius' past crimes. He decides to wait until Claudius is drunk, asleep, or engaged in sinful behavior before taking action.",,,,,,
Q4,instructor,Hamlet,What is Ophelia's role in the tragedy?,"Ophelia is caught between Hamlet, Polonius, Laertes, and court politics; her distress and death reveal the human cost of revenge and manipulation.",explain,baseline,,,"Ophelia is a tragic heroine and the daughter of Polonius. She plays a significant part in the story, serving as a foil to Hamlet's indecision and madness. Her descent into madness is a poignant commentary on the devastating consequences of the tragic events unfolding around her.",,,,,,
Q4,instructor,Hamlet,What is Ophelia's role in the tragedy?,"Ophelia is caught between Hamlet, Polonius, Laertes, and court politics; her distress and death reveal the human cost of revenge and manipulation.",explain,rag,"[1] Hamlet | Act 4 Scene 5 | hamlet_4_5 | Speakers: CLAUDIUS,COMMERCIALLY,LAERTES,OPHELIA,STAGE_DIRECTION,WITH PERMISSION
Play: Hamlet | Act 4 Scene 5
Summary: Ophelia’s madness and Laertes’s return deepen the crisis.

LAERTES: This nothing's more than matter.
OPHELIA: There's rosemary, that's for remembrance. Pray you, love, remember. And there is pansies, that's for thoughts.
LAERTES: A document in madness! Thoughts and remembrance fitted.
OPHELIA: There's fennel for you, and columbines. There's rue for you, and here's some for me. We may call it herb of grace o' Sundays. O, you must wear your rue with a difference! There's a daisy. I would give you some violets, but they wither'd all when my father died. They say he made a good end. [Sings] For bonny sweet Robin is all my joy.
LAERTES: Thought and affliction, passion, hell itself, She turns to favour and to prettiness.
OPHELIA: (sings) And will he not come...

---

[2] Hamlet | Act 2 Scene 1 | hamlet_2_1 | Speakers: OPHELIA,POLONIUS,STAGE_DIRECTION
Play: Hamlet | Act 2 Scene 1
Summary: Polonius sends Reynaldo to spy and hears Hamlet behaved strangely toward Ophelia.

OPHELIA: My lord, as I was sewing in my closet, Lord Hamlet, with his doublet all unbrac'd, No hat upon his head, his stockings foul'd, Ungart'red, and down-gyved to his ankle; Pale as his shirt, his knees knocking each other, And with a look so piteous in purport As if he had been loosed out of hell To speak of horrors- he comes before me.
POLONIUS: Mad for thy love?
OPHELIA: My lord, I do not know, But truly I do fear it.
POLONIUS: What said he?
OPHELIA: He took me by the wrist and held me hard; Then goes he to the length of all his arm, And, with his other hand thus o'er his brow, He falls to such perusal of my face As he would draw it. Long stay'd he so. At last, a l...

---

[3] Hamlet | Act 1 Scene 3 | hamlet_1_3 | Speakers: ELSINORE,LAERTES,OPHELIA,STAGE_DIRECTION
Play: Hamlet | Act 1 Scene 3
Summary: Laertes and Polonius warn Ophelia about Hamlet.

ELSINORE: A room in the house of Polonius.
[Stage] Enter Laertes and Ophelia.
LAERTES: My necessaries are embark'd. Farewell. And, sister, as the winds give benefit And convoy is assistant, do not sleep, But let me hear from you.
OPHELIA: Do you doubt that?
LAERTES: For Hamlet, and the trifling of his favour, Hold it a fashion, and a toy in blood; A violet in the youth of primy nature, Forward, not permanent- sweet, not lasting; The perfume and suppliance of a minute; No more.
OPHELIA: No more but so?
LAERTES: Think it no more. For nature crescent does not grow alone In thews and bulk; but as this temple waxes, The inward service of the mind and soul Grows wide withal. Perhaps he loves you now, And now n...",Hamlet Act 4 Scene 5; Hamlet Act 2 Scene 1; Hamlet Act 1 Scene 3,Ophelia is... a tragic figure whose descent into madness and death is deeply connected to the chaos and destruction that surrounds her.,,,,,,
Q5,instructor,Romeo and Juliet,Why is Juliet conflicted after Romeo kills Tybalt?,Juliet loves Romeo but Tybalt is her kinsman; she must reconcile romantic loyalty with family loyalty.,explain,baseline,,,"Juliet is conflicted because she loves both her family and Romeo. She's torn between her loyalty to the Capulets and her love for Romeo, who has just committed a serious offense by killing her cousin Tybalt. This internal struggle reflects the tragic circumstances of their star-crossed love.",,,,,,
Q5,instructor,Romeo and Juliet,Why is Juliet conflicted after Romeo kills Tybalt?,Juliet loves Romeo but Tybalt is her kinsman; she must reconcile romantic loyalty with family loyalty.,explain,rag,"[1] Romeo and Juliet | Act 3 Scene 1 | romeo_and_juliet_3_1 | Speakers: BENVOLIO,CAPULET,CITIZEN,PRINCE,ROMEO,STAGE_DIRECTION,TYBALT
Play: Romeo and Juliet | Act 3 Scene 1 | Location: A public place
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.

[Stage] Enter Tybalt.
BENVOLIO: Here comes the furious Tybalt back again.
ROMEO: Alive in triumph, and Mercutio slain? Away to heaven respective lenity, And fire-ey'd fury be my conduct now! Now, Tybalt, take the 'villain' back again That late thou gavest me; for Mercutio's soul Is but a little way above our heads, Staying for thine to keep him company. Either thou or I, or both, must go with him.
TYBALT: Thou, wretched boy, that didst consort him here, Shalt with him hence.
ROMEO: This shall determine that. They fight. Tybalt falls.
BENVOLIO: Romeo, away, be gone! The citizens are up, and Tybalt slain. Stand not amaz'd. The Prince will doom thee death If t...

---

[2] Romeo and Juliet | Act 3 Scene 1 | romeo_and_juliet_3_1 | Speakers: CAPULET,MONTAGUE,PRINCE,STAGE_DIRECTION
Play: Romeo and Juliet | Act 3 Scene 1 | Location: A public place
Summary: Tybalt kills Mercutio; Romeo kills Tybalt and is banished.

CAPULET: Wife. He is a kinsman to the Montague; Affection makes him false, he speaks not true. Some twenty of them fought in this black strife, And all those twenty could but kill one life. I beg for justice, which thou, Prince, must give. Romeo slew Tybalt; Romeo must not live.
PRINCE: Romeo slew him; he slew Mercutio. Who now the price of his dear blood doth owe?
MONTAGUE: Not Romeo, Prince; he was Mercutio's friend; His fault concludes but what the law should end, The life of Tybalt.
PRINCE: And for that offence Immediately we do exile him hence. I have an interest in your hate's proceeding, My blood for your rude brawls doth lie a-bleeding; But I'll ame...

---

[3] Romeo and Juliet | Act 3 Scene 2 | romeo_and_juliet_3_2 | Speakers: JULIET,NURSE,STAGE_DIRECTION
Play: Romeo and Juliet | Act 3 Scene 2 | Location: Capulet's orchard
Summary: Juliet learns Romeo killed Tybalt and is torn between love and family loyalty.

NURSE: Will you speak well of him that kill'd your cousin?
JULIET: Shall I speak ill of him that is my husband? Ah, poor my lord, what tongue shall smooth thy name When I, thy three-hours wife, have mangled it? But wherefore, villain, didst thou kill my cousin? That villain cousin would have kill'd my husband. Back, foolish tears, back to your native spring! Your tributary drops belong to woe, Which you, mistaking, offer up to joy. My husband lives, that Tybalt would have slain; And Tybalt's dead, that would have slain my husband. All this is comfort; wherefore weep I then? Some word there was, worser than Tybalt's death, That murd're...",Romeo and Juliet Act 3 Scene 1; Romeo and Juliet Act 3 Scene 1; Romeo and Juliet Act 3 Scene 2,"Juliet is conflicted because she loves Romeo and feels torn between her love for him and her family loyalty. She knows that Romeo killed her cousin Tybalt, which makes her feel guilty and ashamed of her husband's actions.",,,,,,
